City,State,Country
Bombuflat,Andaman and Nicobar Islands,India
Garacharma,Andaman and Nicobar Islands,India
Port Blair,Andaman and Nicobar Islands,India
Rangat,Andaman and Nicobar Islands,India
Addanki,Andhra Pradesh,India
Adivivaram,Andhra Pradesh,India
Adoni,Andhra Pradesh,India
Aganampudi,Andhra Pradesh,India
Ajjaram,Andhra Pradesh,India
Akividu,Andhra Pradesh,India
Akkarampalle,Andhra Pradesh,India
Akkayapalle,Andhra Pradesh,India
Akkireddipalem,Andhra Pradesh,India
Alampur,Andhra Pradesh,India
Amalapuram,Andhra Pradesh,India
Amudalavalasa,Andhra Pradesh,India
Amur,Andhra Pradesh,India
Anakapalle,Andhra Pradesh,India
Anantapur,Andhra Pradesh,India
Andole,Andhra Pradesh,India
Atmakur,Andhra Pradesh,India
Attili,Andhra Pradesh,India
Avanigadda,Andhra Pradesh,India
Badepalli,Andhra Pradesh,India
Badvel,Andhra Pradesh,India
Balapur,Andhra Pradesh,India
Bandarulanka,Andhra Pradesh,India
Banganapalle,Andhra Pradesh,India
Bapatla,Andhra Pradesh,India
Bapulapadu,Andhra Pradesh,India
Belampalli,Andhra Pradesh,India
Bestavaripeta,Andhra Pradesh,India
Betamcherla,Andhra Pradesh,India
Bhattiprolu,Andhra Pradesh,India
Bhimavaram,Andhra Pradesh,India
Bhimunipatnam,Andhra Pradesh,India
Bobbili,Andhra Pradesh,India
Bombuflat,Andhra Pradesh,India
Bommuru,Andhra Pradesh,India
Bugganipalle,Andhra Pradesh,India
Challapalle,Andhra Pradesh,India
Chandur,Andhra Pradesh,India
Chatakonda,Andhra Pradesh,India
Chemmumiahpet,Andhra Pradesh,India
Chidiga,Andhra Pradesh,India
Chilakaluripet,Andhra Pradesh,India
Chimakurthy,Andhra Pradesh,India
Chinagadila,Andhra Pradesh,India
Chinagantyada,Andhra Pradesh,India
Chinnachawk,Andhra Pradesh,India
Chintalavalasa,Andhra Pradesh,India
Chipurupalle,Andhra Pradesh,India
Chirala,Andhra Pradesh,India
Chittoor,Andhra Pradesh,India
Chodavaram,Andhra Pradesh,India
Choutuppal,Andhra Pradesh,India
Chunchupalle,Andhra Pradesh,India
Cuddapah,Andhra Pradesh,India
Cumbum,Andhra Pradesh,India
Darnakal,Andhra Pradesh,India
Dasnapur,Andhra Pradesh,India
Dauleshwaram,Andhra Pradesh,India
Dharmavaram,Andhra Pradesh,India
Dhone,Andhra Pradesh,India
Dommara Nandyal,Andhra Pradesh,India
Dowlaiswaram,Andhra Pradesh,India
East Godavari Dist.,Andhra Pradesh,India
Eddumailaram,Andhra Pradesh,India
Edulapuram,Andhra Pradesh,India
Ekambara kuppam,Andhra Pradesh,India
Eluru,Andhra Pradesh,India
Enikapadu,Andhra Pradesh,India
Fakirtakya,Andhra Pradesh,India
Farrukhnagar,Andhra Pradesh,India
Gaddiannaram,Andhra Pradesh,India
Gajapathinagaram,Andhra Pradesh,India
Gajularega,Andhra Pradesh,India
Gajuvaka,Andhra Pradesh,India
Gannavaram,Andhra Pradesh,India
Garacharma,Andhra Pradesh,India
Garimellapadu,Andhra Pradesh,India
Giddalur,Andhra Pradesh,India
Godavarikhani,Andhra Pradesh,India
Gopalapatnam,Andhra Pradesh,India
Gopalur,Andhra Pradesh,India
Gorrekunta,Andhra Pradesh,India
Gudivada,Andhra Pradesh,India
Gudur,Andhra Pradesh,India
Guntakal,Andhra Pradesh,India
Guntur,Andhra Pradesh,India
Guti,Andhra Pradesh,India
Hindupur,Andhra Pradesh,India
Hukumpeta,Andhra Pradesh,India
Ichchapuram,Andhra Pradesh,India
Isnapur,Andhra Pradesh,India
Jaggayyapeta,Andhra Pradesh,India
Jallaram Kamanpur,Andhra Pradesh,India
Jammalamadugu,Andhra Pradesh,India
Jangampalli,Andhra Pradesh,India
Jarjapupeta,Andhra Pradesh,India
Kadiri,Andhra Pradesh,India
Kaikalur,Andhra Pradesh,India
Kakinada,Andhra Pradesh,India
Kallur,Andhra Pradesh,India
Kalyandurg,Andhra Pradesh,India
Kamalapuram,Andhra Pradesh,India
Kamareddi,Andhra Pradesh,India
Kanapaka,Andhra Pradesh,India
Kanigiri,Andhra Pradesh,India
Kanithi,Andhra Pradesh,India
Kankipadu,Andhra Pradesh,India
Kantabamsuguda,Andhra Pradesh,India
Kanuru,Andhra Pradesh,India
Karnul,Andhra Pradesh,India
Katheru,Andhra Pradesh,India
Kavali,Andhra Pradesh,India
Kazipet,Andhra Pradesh,India
Khanapuram Haveli,Andhra Pradesh,India
Kodar,Andhra Pradesh,India
Kollapur,Andhra Pradesh,India
Kondapalem,Andhra Pradesh,India
Kondapalle,Andhra Pradesh,India
Kondukur,Andhra Pradesh,India
Kosgi,Andhra Pradesh,India
Kothavalasa,Andhra Pradesh,India
Kottapalli,Andhra Pradesh,India
Kovur,Andhra Pradesh,India
Kovurpalle,Andhra Pradesh,India
Kovvur,Andhra Pradesh,India
Krishna,Andhra Pradesh,India
Kuppam,Andhra Pradesh,India
Kurmannapalem,Andhra Pradesh,India
Kurnool,Andhra Pradesh,India
Lakshettipet,Andhra Pradesh,India
Lalbahadur Nagar,Andhra Pradesh,India
Machavaram,Andhra Pradesh,India
Macherla,Andhra Pradesh,India
Machilipatnam,Andhra Pradesh,India
Madanapalle,Andhra Pradesh,India
Madaram,Andhra Pradesh,India
Madhuravada,Andhra Pradesh,India
Madikonda,Andhra Pradesh,India
Madugule,Andhra Pradesh,India
Mahabubnagar,Andhra Pradesh,India
Mahbubabad,Andhra Pradesh,India
Malkajgiri,Andhra Pradesh,India
Mamilapalle,Andhra Pradesh,India
Mancheral,Andhra Pradesh,India
Mandapeta,Andhra Pradesh,India
Mandasa,Andhra Pradesh,India
Mangalagiri,Andhra Pradesh,India
Manthani,Andhra Pradesh,India
Markapur,Andhra Pradesh,India
Marturu,Andhra Pradesh,India
Metpalli,Andhra Pradesh,India
Mindi,Andhra Pradesh,India
Mirpet,Andhra Pradesh,India
Moragudi,Andhra Pradesh,India
Mothugudam,Andhra Pradesh,India
Nagari,Andhra Pradesh,India
Nagireddipalle,Andhra Pradesh,India
Nandigama,Andhra Pradesh,India
Nandikotkur,Andhra Pradesh,India
Nandyal,Andhra Pradesh,India
Narasannapeta,Andhra Pradesh,India
Narasapur,Andhra Pradesh,India
Narasaraopet,Andhra Pradesh,India
Narayanavanam,Andhra Pradesh,India
Narsapur,Andhra Pradesh,India
Narsingi,Andhra Pradesh,India
Narsipatnam,Andhra Pradesh,India
Naspur,Andhra Pradesh,India
Nathayyapalem,Andhra Pradesh,India
Nayudupeta,Andhra Pradesh,India
Nelimaria,Andhra Pradesh,India
Nellore,Andhra Pradesh,India
Nidadavole,Andhra Pradesh,India
Nuzvid,Andhra Pradesh,India
Omerkhan daira,Andhra Pradesh,India
Ongole,Andhra Pradesh,India
Osmania University,Andhra Pradesh,India
Pakala,Andhra Pradesh,India
Palakole,Andhra Pradesh,India
Palakurthi,Andhra Pradesh,India
Palasa,Andhra Pradesh,India
Palempalle,Andhra Pradesh,India
Palkonda,Andhra Pradesh,India
Palmaner,Andhra Pradesh,India
Pamur,Andhra Pradesh,India
Panjim,Andhra Pradesh,India
Papampeta,Andhra Pradesh,India
Parasamba,Andhra Pradesh,India
Parvatipuram,Andhra Pradesh,India
Patancheru,Andhra Pradesh,India
Payakaraopet,Andhra Pradesh,India
Pedagantyada,Andhra Pradesh,India
Pedana,Andhra Pradesh,India
Peddapuram,Andhra Pradesh,India
Pendurthi,Andhra Pradesh,India
Penugonda,Andhra Pradesh,India
Penukonda,Andhra Pradesh,India
Phirangipuram,Andhra Pradesh,India
Pithapuram,Andhra Pradesh,India
Ponnur,Andhra Pradesh,India
Port Blair,Andhra Pradesh,India
Pothinamallayyapalem,Andhra Pradesh,India
Prakasam,Andhra Pradesh,India
Prasadampadu,Andhra Pradesh,India
Prasantinilayam,Andhra Pradesh,India
Proddatur,Andhra Pradesh,India
Pulivendla,Andhra Pradesh,India
Punganuru,Andhra Pradesh,India
Puttur,Andhra Pradesh,India
Qutubullapur,Andhra Pradesh,India
Rajahmundry,Andhra Pradesh,India
Rajamahendri,Andhra Pradesh,India
Rajampet,Andhra Pradesh,India
Rajendranagar,Andhra Pradesh,India
Rajoli,Andhra Pradesh,India
Ramachandrapuram,Andhra Pradesh,India
Ramanayyapeta,Andhra Pradesh,India
Ramapuram,Andhra Pradesh,India
Ramarajupalli,Andhra Pradesh,India
Ramavarappadu,Andhra Pradesh,India
Rameswaram,Andhra Pradesh,India
Rampachodavaram,Andhra Pradesh,India
Ravulapalam,Andhra Pradesh,India
Rayachoti,Andhra Pradesh,India
Rayadrug,Andhra Pradesh,India
Razam,Andhra Pradesh,India
Razole,Andhra Pradesh,India
Renigunta,Andhra Pradesh,India
Repalle,Andhra Pradesh,India
Rishikonda,Andhra Pradesh,India
Salur,Andhra Pradesh,India
Samalkot,Andhra Pradesh,India
Sattenapalle,Andhra Pradesh,India
Seetharampuram,Andhra Pradesh,India
Serilungampalle,Andhra Pradesh,India
Shankarampet,Andhra Pradesh,India
Shar,Andhra Pradesh,India
Singarayakonda,Andhra Pradesh,India
Sirpur,Andhra Pradesh,India
Sirsilla,Andhra Pradesh,India
Sompeta,Andhra Pradesh,India
Sriharikota,Andhra Pradesh,India
